,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
1,Giannis Antetokounmpo,MIL,F,14,35.2,32.1,12.1,6.1,0.5,1.4,0.1,61.0,57.9,3.0,0.8,18.2,13.1,21.4,5.8,10.0,0.9,0.1,2.9,58.5
2,Anthony Davis,LAL,C,13,35.0,30.7,11.4,2.8,1.3,1.8,0.9,56.7,78.4,2.1,2.2,41.4,10.7,18.8,8.4,10.7,0.6,0.0,1.8,56.0
3,Jayson Tatum,BOS,F,15,36.5,29.9,8.1,5.9,1.4,0.5,4.3,46.4,81.3,2.9,11.0,39.4,9.3,20.1,6.9,8.5,0.5,0.0,2.7,51.5
4,Nikola Jokic,DEN,C,10,38.2,29.7,13.7,11.7,1.7,1.0,2.2,56.3,84.3,4.1,3.9,56.4,10.8,19.2,5.9,7.0,0.9,0.6,2.0,67.7
5,Paolo Banchero,ORL,F,5,36.4,29.0,8.8,5.6,0.6,0.8,2.2,49.5,64.4,2.2,6.4,34.4,9.6,19.4,7.6,11.8,0.4,0.0,2.6,50.0
6,De'Aaron Fox,SAC,G,15,37.4,28.8,5.0,5.7,1.7,0.1,2.2,50.6,83.8,3.7,6.2,35.5,10.5,20.8,5.5,6.6,0.3,0.0,2.9,45.2
7,Shai Gilgeous-Alexander,OKC,G,16,34.1,28.7,5.1,6.2,1.8,1.1,1.8,50.0,89.6,2.6,5.4,33.7,9.9,19.9,7.0,7.8,0.1,0.0,1.8,50.3
8,LaMelo Ball,CHA,G,14,33.2,28.4,4.8,6.6,1.2,0.2,4.5,42.6,88.7,4.4,12.4,36.2,9.7,22.8,4.5,5.1,0.1,0.0,4.1,44.0
T9,Luka Doncic,DAL,G,14,36.6,28.1,7.6,7.6,1.6,0.4,3.2,43.5,78.3,3.3,9.9,32.4,9.9,22.6,5.1,6.6,0.3,0.0,2.8,51.2
T9,Anthony Edwards,MIN,G,14,37.1,28.1,5.1,3.8,1.1,0.5,4.8,47.6,75.4,3.1,11.3,42.4,10.0,21.0,3.3,4.4,0.0,0.0,2.1,41.6
11,Kevin Durant,PHO,F,9,38.9,27.6,6.6,3.4,0.8,1.4,2.7,55.3,83.6,3.3,6.2,42.9,9.9,17.9,5.1,6.1,0.0,0.0,1.8,43.9
