Player Aggregates:
Giannis Antetokounmpo: {'Team': 16, 'Pos': 2, 'minutes': 70.4, 'points': 62.5, 'games': 87.0, 'rebounds': 23.6, 'assists': 12.6, 'ft_percentage': 61.8, 'fg_percentage': 61.05, 'three_pt_percentage': 22.799999999999997, 'points_per_minute': 0.8877840909090908, 'rebounds_per_minute': 0.3352272727272727}
Anthony Davis: {'Team': 13, 'Pos': 1, 'minutes': 71.0, 'points': 55.5, 'games': 95.0, 'rebounds': 24.3, 'assists': 6.3, 'ft_percentage': 79.95, 'fg_percentage': 56.3, 'three_pt_percentage': 33.65, 'points_per_minute': 0.7830158730158729, 'rebounds_per_minute': 0.3420238095238095}
Jayson Tatum: {'Team': 2, 'Pos': 2, 'minutes': 73.2, 'points': 56.4, 'games': 108.0, 'rebounds': 16.5, 'assists': 11.100000000000001, 'ft_percentage': 82.6, 'fg_percentage': 46.3, 'three_pt_percentage': 37.65, 'points_per_minute': 0.7706244634392145, 'rebounds_per_minute': 0.225400321003322}
Nikola Jokic: {'Team': 7, 'Pos': 1, 'minutes': 73.6, 'points': 56.4, 'games': 101.0, 'rebounds': 26.2, 'assists': 20.6, 'ft_percentage': 83.6, 'fg_percentage': 57.0, 'three_pt_percentage': 45.3, 'points_per_minute': 0.7658620995651788, 'rebounds_per_minute': 0.3558730440441329}
Paolo Banchero: {'Team': 22, 'Pos': 2, 'minutes': 71.6, 'points': 51.9, 'games': 92.0, 'rebounds': 15.9, 'assists': 10.899999999999999, 'ft_percentage': 68.55000000000001, 'fg_percentage': 47.5, 'three_pt_percentage': 34.45, 'points_per_minute': 0.7236357392607393, 'rebounds_per_minute': 0.2217313936063936}
De'Aaron Fox: {'Team': 26, 'Pos': 3, 'minutes': 73.5, 'points': 55.400000000000006, 'games': 91.0, 'rebounds': 9.6, 'assists': 11.3, 'ft_percentage': 78.55, 'fg_percentage': 48.5, 'three_pt_percentage': 35.95, 'points_per_minute': 0.7534477905994934, 'rebounds_per_minute': 0.13055683114343697}
Shai Gilgeous-Alexander: {'Team': 21, 'Pos': 3, 'minutes': 68.80000000000001, 'points': 58.8, 'games': 101.0, 'rebounds': 10.8, 'assists': 12.4, 'ft_percentage': 88.0, 'fg_percentage': 51.5, 'three_pt_percentage': 35.0, 'points_per_minute': 0.854538693620222, 'rebounds_per_minute': 0.15691262349252494}
LaMelo Ball: {'Team': 3, 'Pos': 3, 'minutes': 65.6, 'points': 52.3, 'games': 36.0, 'rebounds': 9.899999999999999, 'assists': 14.6, 'ft_percentage': 87.6, 'fg_percentage': 42.95, 'three_pt_percentage': 35.85, 'points_per_minute': 0.7965380038673211, 'rebounds_per_minute': 0.15099286033020973}
Luka Doncic: {'Team': 6, 'Pos': 3, 'minutes': 74.9, 'points': 60.800000000000004, 'games': 106.0, 'rebounds': 16.9, 'assists': 17.0, 'ft_percentage': 78.25, 'fg_percentage': 45.6, 'three_pt_percentage': 34.65, 'points_per_minute': 0.81077273181241, 'rebounds_per_minute': 0.22523505828304013}
Anthony Edwards: {'Team': 17, 'Pos': 3, 'minutes': 73.1, 'points': 54.3, 'games': 109.0, 'rebounds': 10.8, 'assists': 9.2, 'ft_percentage': 79.30000000000001, 'fg_percentage': 47.0, 'three_pt_percentage': 39.45, 'points_per_minute': 0.7425950883498054, 'rebounds_per_minute': 0.14789982030548066}
Kevin Durant: {'Team': 24, 'Pos': 2, 'minutes': 76.3, 'points': 54.7, 'games': 88.0, 'rebounds': 13.2, 'assists': 8.3, 'ft_percentage': 84.44999999999999, 'fg_percentage': 53.849999999999994, 'three_pt_percentage': 42.099999999999994, 'points_per_minute': 0.7170552493023384, 'rebounds_per_minute': 0.1730681990019658}
Karl-Anthony Towns: {'Team': 19, 'Pos': 2, 'minutes': 65.6, 'points': 48.0, 'games': 92.0, 'rebounds': 20.6, 'assists': 5.9, 'ft_percentage': 86.0, 'fg_percentage': 52.35, 'three_pt_percentage': 45.25, 'points_per_minute': 0.7314538542334755, 'rebounds_per_minute': 0.31385070131898163}
Jalen Brunson: {'Team': 19, 'Pos': 3, 'minutes': 70.4, 'points': 54.5, 'games': 105.0, 'rebounds': 6.5, 'assists': 14.1, 'ft_percentage': 83.15, 'fg_percentage': 47.45, 'three_pt_percentage': 39.65, 'points_per_minute': 0.7731641132907456, 'rebounds_per_minute': 0.09213554832300946}
Tyrese Maxey: {'Team': 23, 'Pos': 3, 'minutes': 75.4, 'points': 51.3, 'games': 85.0, 'rebounds': 6.8, 'assists': 9.8, 'ft_percentage': 85.05, 'fg_percentage': 42.2, 'three_pt_percentage': 31.9, 'points_per_minute': 0.6802931470027374, 'rebounds_per_minute': 0.09008324361599572}
Jaylen Brown: {'Team': 2, 'Pos': 2, 'minutes': 70.9, 'points': 48.0, 'games': 100.0, 'rebounds': 12.3, 'assists': 7.9, 'ft_percentage': 73.30000000000001, 'fg_percentage': 46.599999999999994, 'three_pt_percentage': 32.05, 'points_per_minute': 0.6770559459502525, 'rebounds_per_minute': 0.17315199898019343}
Damian Lillard: {'Team': 16, 'Pos': 3, 'minutes': 71.3, 'points': 49.5, 'games': 89.0, 'rebounds': 8.899999999999999, 'assists': 14.100000000000001, 'ft_percentage': 91.65, 'fg_percentage': 42.75, 'three_pt_percentage': 33.65, 'points_per_minute': 0.6942560390274608, 'rebounds_per_minute': 0.12480919033755605}
Cam Thomas: {'Team': 20, 'Pos': 3, 'minutes': 65.6, 'points': 47.1, 'games': 80.0, 'rebounds': 6.6, 'assists': 6.0, 'ft_percentage': 86.05, 'fg_percentage': 45.0, 'three_pt_percentage': 37.8, 'points_per_minute': 0.7179293775840876, 'rebounds_per_minute': 0.10066301635192014}
Donovan Mitchell: {'Team': 5, 'Pos': 3, 'minutes': 66.7, 'points': 51.400000000000006, 'games': 81.0, 'rebounds': 9.5, 'assists': 9.7, 'ft_percentage': 84.35, 'fg_percentage': 46.45, 'three_pt_percentage': 38.35, 'points_per_minute': 0.7714873045992591, 'rebounds_per_minute': 0.14239631336405528}
Kyrie Irving: {'Team': 6, 'Pos': 3, 'minutes': 70.8, 'points': 49.0, 'games': 94.0, 'rebounds': 9.0, 'assists': 10.4, 'ft_percentage': 87.35, 'fg_percentage': 51.7, 'three_pt_percentage': 47.2, 'points_per_minute': 0.6923942987184094, 'rebounds_per_minute': 0.12712899748472872}
Tyler Herro: {'Team': 15, 'Pos': 3, 'minutes': 67.8, 'points': 44.8, 'games': 62.0, 'rebounds': 10.0, 'assists': 10.0, 'ft_percentage': 87.35, 'fg_percentage': 46.099999999999994, 'three_pt_percentage': 42.0, 'points_per_minute': 0.6609293421510616, 'rebounds_per_minute': 0.1474852071005917}
Devin Booker: {'Team': 24, 'Pos': 3, 'minutes': 73.0, 'points': 51.2, 'games': 88.0, 'rebounds': 8.2, 'assists': 13.3, 'ft_percentage': 88.9, 'fg_percentage': 46.5, 'three_pt_percentage': 35.099999999999994, 'points_per_minute': 0.7016161115740012, 'rebounds_per_minute': 0.11239219042042922}
LeBron James: {'Team': 13, 'Pos': 2, 'minutes': 71.19999999999999, 'points': 49.3, 'games': 91.0, 'rebounds': 15.399999999999999, 'assists': 17.700000000000003, 'ft_percentage': 74.75, 'fg_percentage': 52.65, 'three_pt_percentage': 41.1, 'points_per_minute': 0.6922560994855286, 'rebounds_per_minute': 0.21636208692358677}
Norman Powell: {'Team': 12, 'Pos': 3, 'minutes': 59.9, 'points': 37.1, 'games': 97.0, 'rebounds': 5.7, 'assists': 3.3, 'ft_percentage': 82.30000000000001, 'fg_percentage': 48.55, 'three_pt_percentage': 46.150000000000006, 'points_per_minute': 0.6091248303934872, 'rebounds_per_minute': 0.09551108095884216}
Cade Cunningham: {'Team': 8, 'Pos': 3, 'minutes': 69.9, 'points': 46.0, 'games': 78.0, 'rebounds': 11.6, 'assists': 16.3, 'ft_percentage': 84.05000000000001, 'fg_percentage': 44.75, 'three_pt_percentage': 36.3, 'points_per_minute': 0.6588609152041989, 'rebounds_per_minute': 0.16445382975233722}
Brandon Ingram: {'Team': 18, 'Pos': 2, 'minutes': 66.4, 'points': 43.5, 'games': 85.0, 'rebounds': 10.9, 'assists': 10.8, 'ft_percentage': 83.5, 'fg_percentage': 47.45, 'three_pt_percentage': 36.3, 'points_per_minute': 0.6548811467973146, 'rebounds_per_minute': 0.16408092905098892}
RJ Barrett: {'Team': 28, 'Pos': 2, 'minutes': 65.8, 'points': 43.4, 'games': 70.0, 'rebounds': 11.8, 'assists': 9.8, 'ft_percentage': 70.6, 'fg_percentage': 45.85, 'three_pt_percentage': 34.9, 'points_per_minute': 0.6587879404608823, 'rebounds_per_minute': 0.17901514380602607}
Stephen Curry: {'Team': 9, 'Pos': 3, 'minutes': 61.800000000000004, 'points': 49.4, 'games': 86.0, 'rebounds': 9.7, 'assists': 11.6, 'ft_percentage': 93.7, 'fg_percentage': 47.05, 'three_pt_percentage': 42.45, 'points_per_minute': 0.7988587282070683, 'rebounds_per_minute': 0.15815441848734196}
Jaren Jackson: {'Team': 14, 'Pos': 2, 'minutes': 61.1, 'points': 45.4, 'games': 80.0, 'rebounds': 11.2, 'assists': 3.4, 'ft_percentage': 80.5, 'fg_percentage': 48.599999999999994, 'three_pt_percentage': 33.8, 'points_per_minute': 0.7455726536138751, 'rebounds_per_minute': 0.18401964366309184}
DeMar DeRozan: {'Team': 26, 'Pos': 2, 'minutes': 74.6, 'points': 46.9, 'games': 93.0, 'rebounds': 8.399999999999999, 'assists': 9.5, 'ft_percentage': 85.6, 'fg_percentage': 50.35, 'three_pt_percentage': 36.95, 'points_per_minute': 0.6286310037388553, 'rebounds_per_minute': 0.11258987633016967}
Zion Williamson: {'Team': 18, 'Pos': 2, 'minutes': 62.6, 'points': 45.8, 'games': 77.0, 'rebounds': 13.9, 'assists': 10.3, 'ft_percentage': 68.45, 'fg_percentage': 51.2, 'three_pt_percentage': 32.45, 'points_per_minute': 0.7316353613719886, 'rebounds_per_minute': 0.22238668844426296}
Victor Wembanyama: {'Team': 27, 'Pos': 1, 'minutes': 61.1, 'points': 44.099999999999994, 'games': 84.0, 'rebounds': 21.1, 'assists': 6.699999999999999, 'ft_percentage': 83.4, 'fg_percentage': 46.85, 'three_pt_percentage': 33.2, 'points_per_minute': 0.7218039468039468, 'rebounds_per_minute': 0.3457207207207207}
Franz Wagner: {'Team': 22, 'Pos': 2, 'minutes': 64.3, 'points': 42.0, 'games': 95.0, 'rebounds': 11.0, 'assists': 8.899999999999999, 'ft_percentage': 85.45, 'fg_percentage': 47.25, 'three_pt_percentage': 31.2, 'points_per_minute': 0.6544876386657117, 'rebounds_per_minute': 0.17123884382320487}
Zach LaVine: {'Team': 4, 'Pos': 2, 'minutes': 69.1, 'points': 41.5, 'games': 38.0, 'rebounds': 10.4, 'assists': 8.1, 'ft_percentage': 82.5, 'fg_percentage': 48.2, 'three_pt_percentage': 39.05, 'points_per_minute': 0.6010070544077482, 'rebounds_per_minute': 0.15052195914810906}
Trae Young: {'Team': 1, 'Pos': 3, 'minutes': 71.9, 'points': 47.599999999999994, 'games': 70.0, 'rebounds': 6.6, 'assists': 22.4, 'ft_percentage': 87.25, 'fg_percentage': 40.4, 'three_pt_percentage': 35.7, 'points_per_minute': 0.6619583720210461, 'rebounds_per_minute': 0.09181754874651811}
Jalen Williams: {'Team': 21, 'Pos': 2, 'minutes': 64.7, 'points': 40.8, 'games': 97.0, 'rebounds': 10.899999999999999, 'assists': 9.899999999999999, 'ft_percentage': 81.65, 'fg_percentage': 52.35, 'three_pt_percentage': 40.55, 'points_per_minute': 0.6303059839840988, 'rebounds_per_minute': 0.1682051870114481}
Julius Randle: {'Team': 17, 'Pos': 2, 'minutes': 69.4, 'points': 45.6, 'games': 60.0, 'rebounds': 15.7, 'assists': 9.4, 'ft_percentage': 80.4, 'fg_percentage': 48.95, 'three_pt_percentage': 34.650000000000006, 'points_per_minute': 0.6566301096709871, 'rebounds_per_minute': 0.2255317381189764}
Jordan Poole: {'Team': 30, 'Pos': 3, 'minutes': 60.1, 'points': 38.5, 'games': 91.0, 'rebounds': 5.0, 'assists': 9.0, 'ft_percentage': 88.95, 'fg_percentage': 43.65, 'three_pt_percentage': 38.5, 'points_per_minute': 0.6407032115171649, 'rebounds_per_minute': 0.08318383167220376}
Ja Morant: {'Team': 14, 'Pos': 3, 'minutes': 63.199999999999996, 'points': 45.7, 'games': 17.0, 'rebounds': 10.6, 'assists': 17.2, 'ft_percentage': 82.3, 'fg_percentage': 45.95, 'three_pt_percentage': 26.65, 'points_per_minute': 0.7246997065602567, 'rebounds_per_minute': 0.16892584808147268}
Darius Garland: {'Team': 5, 'Pos': 3, 'minutes': 64.1, 'points': 38.2, 'games': 85.0, 'rebounds': 5.199999999999999, 'assists': 13.4, 'ft_percentage': 88.35, 'fg_percentage': 46.75, 'three_pt_percentage': 39.9, 'points_per_minute': 0.6002890229851388, 'rebounds_per_minute': 0.08102407873923487}
